@relation rabc_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute psy_feature1 numeric
@attribute psy_feature2 numeric
@attribute psy_feature3 numeric
@attribute psy_feature4 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute psy_feature7 numeric
@attribute psy_feature8 numeric
@attribute psy_feature9 numeric
@attribute psy_feature10 numeric
@attribute psy_feature11 numeric
@attribute psy_feature12 numeric
@attribute psy_feature13 numeric
@attribute psy_feature14 numeric
@attribute psy_feature15 numeric
@attribute psy_feature16 numeric
@attribute psy_feature17 numeric
@attribute psy_feature18 numeric
@attribute child_feature1 numeric
@attribute child_feature2 numeric
@attribute child_feature3 numeric
@attribute child_feature4 numeric
@attribute child_feature5 numeric
@attribute child_feature6 numeric
@attribute child_feature7 numeric
@attribute child_feature8 numeric
@attribute child_feature9 numeric
@attribute child_feature10 numeric
@attribute child_feature11 numeric
@attribute child_feature12 numeric
@attribute child_feature13 numeric
@attribute child_feature14 numeric
@attribute child_feature15 numeric
@attribute child_feature16 numeric
@attribute child_feature17 numeric
@attribute child_feature18 numeric
@attribute joint_feature1 numeric
@attribute joint_feature2 numeric
@attribute class {0,1,2}

@data

10,0.361382,-0.440688,0.692842,4.479066,-0.447456,-0.286285,0.892757,4.089869,-0.22083,-0.304294,1.191995,5.542439,-0.61665,-0.232282,1.071406,7.472742,-0.14167,8,0.128883,-0.195127,1.188365,4.576371,-0.080265,-0.031835,0.978718,3.968844,0.188982,-0.064529,1.055046,4.004765,-0.442558,-0.008501,0.025647,0.831507,0.025063,1.098024,6,0
12,0.096861,0.092127,0.708491,4.476359,0.12688,0.150935,0.600449,3.556045,0.328681,0.255056,0.859795,3.925421,0.487516,-0.001564,0.621703,3.600179,-0.068749,4,0.031284,0.415935,0.501675,2.928557,0.294785,0.000945,1.073741,4.641025,0.088412,-0.147617,0.337472,1.951675,0.083931,-0.047839,0.027629,1.107875,-0.007988,1.531442,0,2
16,0.452723,0.283345,1.190172,5.282326,0.338854,0.401493,1.097248,4.823456,0.436534,0.193056,0.754479,3.924284,0.065636,0.181004,0.928469,4.322787,0.103622,2,0.015714,-0.283629,1.952218,3.906564,0.445538,1.078526,0.314945,2.910115,0.984666,1.175914,2.630404,3.91414,-0.152342,0.084441,0.002189,0.190164,0.07208,1.282244,1,1
2,0.522523,-0.032875,0.860191,4.185434,-0.201573,-0.228495,1.854906,10.123798,-0.128368,0.077959,0.164386,2.52058,0.027925,0.82164,0.072745,1.475765,0.809209,1,0.061261,1.518189,0.000153,0.041669,1.518189,-0.542514,0.277083,1.830545,-0.663567,0.752455,0.256524,1.456568,0.892485,0.034382,0.095506,1.101173,0.007148,0.908042,0,0
8,0.363707,-0.151472,1.049329,3.717095,-0.109021,0.161466,1.053274,5.413127,0.078146,-0.457233,0.924192,6.476442,-0.643505,-0.239191,0.888791,6.292186,-0.187767,7,0.077735,-0.19275,0.941813,3.275735,0.151005,0.221658,1.380456,4.995976,-0.081989,0.228511,1.536552,3.413732,-0.172544,-0.11067,0.02112,0.601326,-0.108261,0.988832,4,0
12,0.145264,0.170735,1.047578,3.710519,0.271544,-0.213669,0.848354,6.608263,-0.364814,0.300816,1.33493,6.017722,-0.014209,-0.051345,1.414747,15.159421,-0.196522,12,0.099487,-0.073865,0.918175,3.152508,0.176746,-0.019077,0.879003,5.041242,-0.222534,0.01537,0.894668,3.054112,-0.201803,0.022004,0.029823,0.852402,-0.027038,1.348696,1,0
2,0.332503,-0.28529,0.848808,3.489355,-0.345577,-0.015712,0.71641,4.17618,-0.176942,0.834047,0.515668,3.409476,0.697995,0.1165,0.244239,2.899646,0.076191,1,0.032379,0.721421,0.089345,1.013624,0.718669,-0.768979,0.55036,3.701244,-0.944579,-0.565147,0.001136,0.137783,-0.553709,-0.068461,0.000765,0.07573,-0.079814,0.913994,0,0
8,0.751448,0.040973,0.874106,3.744269,-0.00617,0.096597,0.939647,5.080241,-0.043133,-0.016254,0.601232,3.967415,-0.181387,0.161881,0.743372,5.568085,0.224546,1,0.04588,0.939687,0.20304,1.338684,0.715298,0.21471,0.790228,3.772253,0.128964,-0.808622,0.020135,0.408829,-0.747883,-0.038067,0.0014,0.179074,-0.041752,0.779907,1,0
8,0.389184,-0.013152,1.002736,3.451455,-0.239044,0.053189,0.901151,5.72992,0.003682,0.115185,1.534392,10.269846,-0.096372,-0.025261,0.666801,4.503462,-0.047425,1,0.02282,0.541843,1.223599,4.039668,0.087551,0.310222,0.851926,4.67937,0.097118,0.214723,0.344251,3.057795,-0.149841,0.090729,0.00486,0.608922,0.092089,0.814228,0,0
5,0.092725,-0.261522,0.878174,3.226075,-0.666828,-0.17728,0.913826,5.095427,-0.296594,0.031073,0.96974,6.375364,-0.275743,0.305969,2.781422,9.007128,-0.322746,1,0.009608,-0.627849,0.006518,0.251367,-0.613765,-0.359464,0.93085,4.178146,-0.397455,-0.248808,1.644506,5.113996,0.327288,-0.142011,0.000289,0.11661,-0.13871,1.079517,0,0
7,0.740331,-0.20941,0.759846,7.094787,-0.216343,-0.114315,0.847942,4.619546,-0.103823,-0.13126,0.447581,5.018119,-0.197691,-0.012841,0.441516,4.452656,-0.026411,1,0.058195,-0.213094,1.935235,5.643106,0.155626,-0.102013,1.181244,4.41937,-0.139316,0.000001,1,4.023519,0.230439,0,0.004974,0.215932,0.003481,0.943184,1,1
8,0.122577,-0.205644,0.494215,2.717923,-0.218529,-0.493532,0.665725,4.067259,-0.492156,0.149126,2.214111,6.405383,-0.52157,-0.158532,0.621417,6.850258,-0.402651,6,0.048818,0.200351,1.190545,4.217031,0.040935,-0.15917,0.869541,3.776796,-0.145182,-0.282049,0.61459,3.2668,-0.277589,-0.057087,0.045899,0.722157,0.031404,1.392819,1,1
7,0.693583,0.121952,1.3187,5.802987,-0.189029,-0.018019,0.679856,4.769557,0.033633,-0.372133,0.132995,2.620376,-0.434692,-0.518339,0.40273,9.190314,-0.407452,2,0.060923,-0.489616,0.19653,2.180622,-0.483304,0.388978,1.105597,4.588786,0.31065,0.386245,1.269666,2.592471,-0.464637,0.077813,0.015283,1.23167,0.104235,0.96368,1,0
